max,min,index
2.1046483516693115,-2.0985448360443115,eddi1
2.1046483516693115,-2.0985448360443115,eddi10
2.1046483516693115,-2.0985448360443115,eddi11
2.1046483516693115,-2.0985448360443115,eddi12
2.1046483516693115,-2.0985448360443115,eddi2
2.1046483516693115,-2.0985448360443115,eddi3
2.1046483516693115,-2.0985448360443115,eddi4
2.1046483516693115,-2.0985448360443115,eddi5
2.1046483516693115,-2.0985448360443115,eddi6
2.1046483516693115,-2.0985448360443115,eddi7
2.1046483516693115,-2.0985448360443115,eddi8
2.1046483516693115,-2.0985448360443115,eddi9
4.129483699798584,-4.108633041381836,leri1
4.129483699798584,-4.094820022583008,leri3
18.4617977142334,-13.12723159790039,pdsi
19.0782527923584,-9.230917930603027,scpdsi
16.0,-9.388415336608888,pzi
2360.510009765625,0.0,ppt
4.391794681549072,-8.040962219238281,spei1
4.319247722625732,-5.7904863357543945,spei10
4.105068683624268,-5.083176136016846,spei11
4.118137836456299,-4.767177104949951,spei12
4.897004127502441,-7.4042534828186035,spei2
4.292759418487549,-6.0068359375,spei3
4.456145763397217,-5.414984703063965,spei4
3.9434444904327393,-4.180827617645264,spei5
4.090328693389893,-5.262356281280518,spei6
4.480373859405518,-5.476804256439209,spei7
4.173728942871094,-4.844168186187744,spei8
4.228659629821777,-5.138181209564209,spei9
3.50728726387024,-4.25414514541626,spi1
3.7756407260894775,-5.166328430175781,spi10
3.800823450088501,-5.166328430175781,spi11
3.761376857757568,-5.166328430175781,spi12
3.61236834526062,-5.166328430175781,spi2
3.767414093017578,-4.698205471038818,spi3
3.834282398223877,-5.166328430175781,spi4
3.624192237854004,-4.210200786590576,spi5
3.853606939315796,-4.32832670211792,spi6
4.125251770019531,-4.820525169372559,spi7
3.785505533218384,-5.166328430175781,spi8
3.716565608978272,-5.166328430175781,spi9
26.32999992370605,-30.65999984741211,tdmean
49.68999862670898,-28.850000381469727,tmax
41.16300201416016,-29.850000381469727,tmean
34.32899856567383,-33.709999084472656,tmin
106.33000183105467,0.0099999997764825,vpdmax
74.06999969482422,0.0049999998882412,vpdmean
44.75,0.0,vpdmin
